key,default_value
timestamp,%Y-%m-%d %H:%M:%S
orig_id,293017482
identity,"Passive Monitor"
identitytype,CDFW Tunnel Device
flow,OUTBOUND
protocol,17
packetsize,42
source_ip,172.16.0.42
source_port,42596
dest_ip,93.184.216.34
dest_port,443
datacenter,ams1.edc
ruleid,12
verdict,ALLOW
action,Allowed
resolver,1.1.1.1
ADusername,edith.roux
ADsite,Bâle
Network,CH
query_type,"1 (A)"
response_code,NOERROR
domain,example.com
categories,"Chat,Social Networking,Allow list"
computername,proxyhost1
user-agent,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:83.0) Gecko/20100101 Firefox/83.0
url,http://www.example.com/index.html
verdict,ALLOWED
identities,"ActiveDirectoryUserName,ADSite,Network"
internalip,172.16.0.42
externalip,93.184.216.34
dest-ip,204.68.111.106
content-type,
referer,
statuscode,200
request-size,242
response-size,1337
response-bodysize,
sha,
avdetection,
amp-disposition,
amp-malwarename,
amp-score,
identitytype,
