key,default_value
ORGANIZATION_ID,123442098765
SOURCE_ID,432198764501
FINDING_ID,b0264e32bca24db5953e334724c6e3fa
PROJECT_NUMBER,907856341267
PROJECT_ID,gotham-007
PROJECT_DISPLAY,gotham
insertId,-ch0kO942Hoo4
timestamp_seconds,%s
timestamp_nano,000000000
PRINCIPAL_EMAIL,runjob@example-com-923041.iam.gserviceaccount.com
PARENT_NAME,/
USER_EMAIL,octave.hergebel@example.com
FOLDER_ID,ae61fe1eb4e1497c8ac79e71e9c12e5f
eventTime,%Y-%m-%dT%H:%M:%S.000Z
createTime,%Y-%m-%dT%H:%M:%S.000Z
INSTANCE_ID,938492837493
resource_labels_instance_id,6662930477293811409
SOURCE_IP_ADDRESS,172.16.0.42
IP_ADDRESS,172.16.0.42
resource_labels_location,can-west3
resource_labels_location,can-west3-a
jsonPayload_instance_region,can-west3
jsonPayload_instance_zone,can-west3-a
jsonPayload_instance_project_id,gotham-007
jsonPayload_vpc_project_id,gotham-007
resource_labels_subnetwork_name,default
KEY_RINGS,leather-monger1
resource_labels_project_id,gotham-007
resource_labels_subnetwork_id,55591028344401823174
@timestamp,%Y-%m-%dT%H:%M:%S.000Z
jsonPayload_rule_details_action,ALLOW
jsonPayload_rule_details_priority,"1000"
jsonPayload_rule_details_direction,"INGRESS"
jsonPayload_rule_details_ip_port_info_0_ip_protocol,"TCP"
jsonPayload_rule_details_ip_port_info_0_port_range_0,"22"
jsonPayload_rule_details_ip_port_info_1_ip_protocol,"UDP"
jsonPayload_rule_details_ip_port_info_1_port_range_0,"60000-61000"
jsonPayload_remote_location_country,grd
jsonPayload_remote_location_continent,Groland
receiveTimestamp,%Y-%m-%dT%H:%M:%S.000000000Z
timestamp,%Y-%m-%dT%H:%M:%S.000000000Z
logName,"projects/gotham-007/logs/compute.googleapis.com%2Ffirewall"
@version,1
host,None
