key,default_value
Id,42da0437-1f1f-4b21-9bdc-56dfb9323b56
RecordType,15
ActorIpAddress,"3.69.100.130"
ClientIP,192.168.0.42
SupportTicketId,
AzureActiveDirectoryEventType,1
Version,1
Workload,"AzureActiveDirectory"
ActorContextId,870d3513-a29b-4003-adc9-fcbf5772bccd
TargetContextId,83531c3b-eb77-4b11-ba9d-ee0519c15220
OrganizationId,f0475c29-3200-41e1-ae8a-e38078a3220f
IntraSystemId,9a192384-6bf3-4fd1-88d4-638f39a14f86
InterSystemsId,2eda6e7e-cc94-4392-a0c3-3788c92b5703
UserType,0
ObjectId,Unknown
Target_0_ID,Unknown
Target_0_Type,0
ApplicationId,b48c1cc9-c662-4426-a5d6-58798d43657f
ModifiedProperties,"[]"
UserKey,D43FgjTlw0KRoe6Z
UserId,octave.hergebel@example.com
Actor_0_ID,2faf7491-3a4f-43da-a9dc-5759efb2bbea
Actor_0_Type,0
Actor_1_ID,octave.hergebel@example.com  
Actor_1_Type,5
Actor_2_ID,D43FgjTlw0KRoe6Z
Actor_2_Type,3
ResultStatus,Succeeded
LogonError,None
Operation,UserLoggedIn
CreationTime,"%Y-%m-%dT%H:%M:%S"
