key,default_value
o365_operation,"UserLoggedIn"
o365_inter_systems_id,"1708bec5-f44a-4c6c-8a03-100732541486"
o365_object_id,"Unknown"
o365_support_ticket_id,""
o365_record_type,"15"
o365_actor,"[{"ID": "c15eeebf-461b-4380-8f30-ea45b91fe253", "Type": 0}, {"ID": "biff.bullhorn@example.com", "Type": 5}, {"ID": "10030000999DB307", "Type": 3}]"
o365_workload,"AzureActiveDirectory"
o365_user_type,"0"
o365_organization_id,"8331b18d-2d87-48ef-a35f-ac8818ebf9b4"
o365_client_ip,"130.32.220.126"
o365_id,"5e613ed1-2509-4fbe-b3b0-cc6aa002e866"
o365_intra_system_id,"8f67d449-58ef-4770-a727-9080869b5d00"
o365_target_type,"Unknown"
o365_target_id,""
o365_application_id,"e4311797-d8d0-441f-bcfe-a609dfc496d1"
o365_user_key,"10030000989DB307@example.com"
o365_result_status,"Succeeded"
o365_azure_ad_event_type,"1"
o365_actor_ip_address,"130.32.220.126"
o365_actor_context_id,"8331b18d-2d87-48ef-a35f-ac8818ebf9b4"
o365_target_context_id,"8331b18d-2d87-48ef-a35f-ac8818ebf9b4"
o365_version,"1"
o365_extended_properties,"[{""Name"": ""UserAgent"", ""Value"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36""}, {""Name"": ""UserAuthenticationMethod"", ""Value"": ""4""}, {""Name"": ""RequestType"", ""Value"": ""OAuth2:Authorize""}, {""Name"": ""ResultStatusDetail"", ""Value"": ""Redirect""}]"
o365_user_id,biff.bullhorn@example.com
o365_actor_email,biff.bullhorn@example.com
o365_user_agent,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36
o365_actor_id,c15eeebf-461b-4380-8f30-ea45b91fe253
