key,default_value
Id,42da0437-1f1f-4b21-9bdc-56dfb9323b56
CorrelationId,870d3513-a29b-4003-adc9-fcbf5772bccd
UserKey,D43FgjTlw0KRoe6Z
OrganizationId,83531c3b-eb77-4b11-ba9d-ee0519c15220
RecordType,6
UserType,0
Version,1
ItemType,File
WebId,f0475c29-3200-41e1-ae8a-e38078a3220f
EventSource,SharePoint
UserAgent,"Opera/9.46.(Windows 98; mg-MG) Presto/2.9.172 Version/10.00"
SiteUrl,https://examcorp.sharepoint.com/Documents/
Site,9a192384-6bf3-4fd1-88d4-638f39a14f86
ObjectId,https://examcorp.sharepoint.com/Documents/TYRO3-gen.pptx
SourceRelativeUrl,Documents
SourceFileName,TYRO3-gen.pptx
SourceFileExtension,pptx
Workload,OneDrive
ClientIP,192.168.0.42
UserId,octave.hergebel@example.com
ListId,2eda6e7e-cc94-4392-a0c3-3788c92b5703
ListItemUniqueId,b48c1cc9-c662-4426-a5d6-58798d43657f
ApplicationDisplayName,"None"
ApplicationId,"None"
Operation,"FileModified"
DoNotDistributeEvent,"True"
ImplicitShare,"None"
CreationTime,"%Y-%m-%dT%H:%M:%S"
