key,default_value
eventVersion,1.08
eventTime,%Y-%m-%dT%H:%M:%SZ
awsRegion,us-west-1
eventID,de017cfc-014e-4934-af70-e1723de838f0
recipientAccountId,738192374810
sharedEventID,5c7609d8-8dff-406d-9600-b15930c23356
insightDetails_state,Start
insightDetails_eventSource,autoscaling.amazonaws.com
insightDetails_eventName,CompleteLifecycleAction
insightDetails_insightType,ApiCallRateInsight
insightDetails_insightContext_statistics_baseline_average,8.82145e-05
userAgent,"console.amazonaws.com"
eventID,"eaa9f52d-0394-47d2-9fc6-6986d45ef43c"
userIdentity_type,"Root"
userIdentity_principalId,"738192374810"
userIdentity_arn,"arn:aws:iam::738192374810:root"
userIdentity_accountId,"738192374810"
resources_0_ARN,arn:aws:s3:::eb47x3918be-dev-us-east-1/nft/cleansed/PC_1234/EB47X3918DEV_MDAH_MDR/date_partition=2021-08-15/dataset=2021081500120/part-00001-88b6a03b-a25f-4ff1-88f0-54b6c93191ec.c000.snappy.parquet
resources_1_arn,"arn:aws:iam::738192374810:root"
resources_1_ARN,"arn:aws:iam::738192374810:root"
userIdentity_sessionContext_sessionIssuer_principalId,"ZOUB1D4IAMD4NSTONGR0"
userIdentity_sessionContext_sessionIssuer_arn,"arn:aws:iam::738192374810:role/glb-mdr"
userIdentity_sessionContext_sessionIssuer_userName,"glb-mdr"
userIdentity_sessionContext_sessionIssuer_accountId,738192374810
userIdentity_sessionContext_attributes_creationDate,"%Y-%m-%dT%H:%M:%SZ"
resources_0_accountId,"738192374810"
resources_1_accountId,"738192374810"
resources_2_accountId,"738192374810"
resources_2_arn,"arn:aws:iam::738192374810:root"
resources_2_ARN,"arn:aws:iam::738192374810:root"
resources_3_ARN,"arn:aws:iam::738192374810:root"
userIdentity_accessKeyId,"ZOUB1D4IAMD4NSTONGR0"
userIdentity_sessionContext_attributes_mfaAuthenticated,false
userIdentity_sessionContext_attributes_creationDate,"%Y-%m-%dT%H:%M:%SZ"
eventType,"AwsApiCall"
sourceIPAddress,93.184.216.34
eventName,"CreateAccessKey"
eventSource,"iam.amazonaws.com"
recipientAccountId,"936471293841"
requestParameters_userName,"backup"
awsRegion,"us-east-1"
requestParameters_bucketName,"eb47x3918be-dev-us-east-1"
requestParameters_Host,"eb47x3918be-dev-us-east-1.s3.amazonaws.com"
requestParameters_key,"nft/cleansed/PC_1234/EB47X3918DEV_MDAH_MDR/date_partition=2021-08-15/dataset=2021081500120/part-00001-88b6a03b-a25f-4ff1-88f0-54b6c93191ec.c000.snappy.parquet"
requestID,"88b6a03b-a25f-4ff1-88f0-54b6c93191ec"
responseElements_accessKey_accessKeyId,"ZOUB1D4IAMD4NSTONGR0"
responseElements_accessKey_status,"Active"
responseElements_accessKey_userName,"backup"
responseElements_accessKey_createDate,"%b %d, %Y %H:%M:%S %p"
requestParameters_networkAclId,"acl-ae7391fb23f0b00f1"
responseElements_requestId,"4dd9a996-4129-48a5-ad36-10905476ee8b"
vpcEndpointId,vpce-83721f9328deb351c
