key,default_value
process_id,"00000001-0000-01d0-01d1-8f3ea8057d40"
sensor_id,"1"
group,"Default Group"
segment_id,"1"
docs_0_username,"JASON-WIN81-VM\\admin"
docs_0_process_md5,"24da05ade2a978e199875da0d859e7eb"
docs_0_modload_count,"74"
docs_0_parent_unique_id,"00000001-0000-0e30-01d1-804996bc85ae-00000001"
docs_0_process_name,"notepad.exe"
docs_0_cmdline,"notepad"
docs_0_os_type,"windows"
docs_0_emet_count,"0"
docs_0_path,"c:\\windows\\system32\\notepad.exe"
docs_0_last_update,"2016-04-05T13:25:46.385Z"
docs_0_parent_pid,"3632"
docs_0_crossproc_count,"5"
docs_0_parent_name,"cmd.exe"
docs_0_parent_md5,"000000000000000000000000000000"
docs_0_netconn_count,"0"
docs_0_host_type,"workstation"
docs_0_filemod_count,"0"
docs_0_processblock_count,"0"
docs_0_start,"2016-04-05T13:25:44.013Z"
docs_0_unique_id,"00000001-0000-01d0-01d1-8f3ea8057d40-00000001"
docs_0_regmod_count,"22"
docs_0_childproc_count,"0"
docs_0_process_pid,"464"
hostname,"JASON-WIN81-VM"
report_score,"100"
event_timestamp,"1459862371.31"
feed_name,"testquery2"
feed_id,"71"
ioc_value,"{index_type: events, search_query: cb.urlver=1&q=process_name%3Anotepad.exe%20-digsig_result%3AUnsigned}"
ioc_attrs_highlights_0,"PREPREPREnotepad.exePOSTPOSTPOST"
ioc_attrs_highlights_1,"c:\\windows\\system32\\PREPREPREnotepad.exePOSTPOSTPOST"
comms_ip,""
ioc_type,"query"
interface_ip,""
report_id,"unsignednotepad"
