key,default_value
uniqueQualifier,-2321999656806482951
customerId,C4f3B33F5
etag,Ym9vIEkgYW0gQmVsemVidXRoIGpl_IHN1aXMgZW4gc/SWwgeSBlbiBhIDI3IGNoYXJhY3R
actor_email,ohergebel@example.com
actor_profileId,411217686666821540206
ipAddress,93.184.216.34
doc_id,Vm9pbGEgdW4gY-mVhdSBkb_2N1bWVudCBxdW-kgZXN0I
doc_type,spreadsheet
is_encrypted,false
doc_title,confidential_sales
visibility,private
originating_app_id,29384010036784
actor_is_collaborator_account,true
owner,ohergebel@example.com
owner_is_shared_drive,false
owner_is_team_drive,false
