key,default_value
id,ZXJvdXhAZWFtcGxlLmNvbQo=
eventId,"b8a64194fdc34303b2d2a4f7503eeec2"
sessionId,"2042MbeRa1DLFKEP-19OqR3iY"
requestId,"Ep293Ffi2WzZm203LgHfdEE4aS"
published,"%Y-%m-%dT%H:%M:%S.000Z"
action_message,"User performed single sign on to app. "
action_categories_0,"Application Access"
action_objectType,"app.auth.sso"
action_requestUri,"/app/office365/oek4j2kld903jknv39xz/sso/wsfed/passive"
actors_0_id,000kdle38jndeazqwj2k
actors_0_displayName,"Edith Roux"
actors_0_login,"Edith.Roux@bale.ch"
actors_0_objectType,"User"
actors_1_id,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:83.0) Gecko/20100101 Firefox/83.0"
actors_1_displayName,"IE11"
actors_1_ipAddress,"172.16.0.42"
actors_1_objectType,"Client"
targets_0_id,"3jdkf5iokzvm4923fjwq"
targets_0_displayName,"Edith Roux"
targets_0_login,"Edith.Roux@bale.ch"
targets_0_objectType,"User"
targets_1_id,"oek4j2kld903jknv39xz"
targets_1_displayName,"Microsoft Office 365"
targets_1_objectType,"AppInstance"
created,%Y-%m-%DT%H:%M:%ST000Z
lastUpdated,%Y-%m-%DT%H:%M:%ST000Z
organization,robin-007
api_version,v1
